UniprotID,symbol,BL1,BL2,BL3,BL4,BL5,BL6,BL7,BL8,BL9,BL10,AMS1,AMS2,AMS3,AMS4,AMS5,AMS6,AMS7,AMS8,AMS9,AMS10
Q96IQ7,VSIG2,3.31254,2.99541,2.81028,3.02881,3.5805,2.78583,2.85743,3.45431,3.65769,3.23036,3.46052,3.56862,2.98767,3.43798,3.57021,3.24512,2.99291,3.22926,3.17951,3.1819
Q8IYS5,OSCAR,11.19693,11.23219,11.22812,11.10603,11.04212,10.93309,11.11552,11.17274,11.10829,11.00238,11.14446,11.35416,11.24322,11.31361,11.15064,11.13163,11.16946,11.37216,10.7753,11.05538
P04179,SOD2,9.53843,9.52981,9.36114,9.50836,9.43814,9.51486,9.3965,9.54819,9.43627,9.45727,9.47334,9.49755,9.27758,9.57692,9.53437,9.53286,9.50766,9.60682,9.43019,9.53896
Q96F46,IL17RA,3.21152,2.90078,3.49126,3.25497,3.59526,3.49375,3.51186,3.13049,3.1445,3.49229,3.20351,3.21828,3.34545,3.64849,3.67717,3.58205,3.31337,3.67138,2.836,3.68793
P36222,CHI3L1,5.4024,5.22114,5.66371,4.70576,5.50806,4.99841,5.48741,5.26835,6.23453,5.06573,5.51082,5.13556,5.57379,4.72275,5.0715,4.73876,5.76838,5.44938,5.01154,5.06016
P55773,CCL23,9.3622,10.1007,10.24413,9.47433,9.65478,10.05942,10.08307,9.22037,10.06493,9.63569,8.88481,10.34206,9.29717,8.94147,9.70031,9.81456,9.86606,10.03619,9.44406,9.78828
Q14790,CASP8,3.9004,3.58567,3.98859,4.24323,3.55076,5.59868,3.97546,3.55005,4.22137,3.592,3.36435,3.46741,3.50131,3.8911,3.33463,4.1462,3.06533,5.14813,3.04616,4.13657
Q76M96,CCDC80,5.88578,4.75432,,6.48917,5.68679,5.2025,5.6724,6.23315,5.9436,,5.51757,4.7697,,6.0607,4.75594,5.14709,6.52134,6.24961,4.95125,
Q96JA1,LRIG1,2.34709,3.21942,,3.11254,3.12457,2.33228,3.08295,2.70221,3.61783,,2.37598,2.88897,,2.57234,2.19762,2.62857,3.71394,2.76267,2.36267,
Q96EK5,KIFBP,3.78684,3.17354,5.70606,3.81318,3.74672,3.76333,4.04204,4.48221,4.6296,3.1269,3.34375,3.70762,4.65568,4.8059,3.92281,5.796,2.651,6.72321,4.04483,5.69603
P43628,KIR2DL3,1.63671,1.69346,1.60153,0.960350004,2.66754,2.05237,1.57183,0.960350004,2.32799,2.75043,1.5896,2.1717,1.3755,0.960350004,2.58962,1.95692,1.70028,1.519,2.33724,2.92282
P41439,FOLR3,8.10208,7.34909,7.73067,7.58821,7.75347,12.91998,7.7909,13.35061,7.85682,7.62994,8.04718,7.50181,7.72648,7.82171,7.31839,7.782,7.65295,13.50446,7.62085,7.41579
P05362,ICAM1,,5.62554,6.0422,5.96342,6.1273,5.70742,5.56183,5.8561,6.04146,5.89515,,5.85808,6.18685,6.36076,6.05745,5.45069,5.61661,6.43323,5.82646,5.93692
P35247,SFTPD,1.68597,4.06019,2.76885,2.42503,2.0475,2.55977,2.25479,3.12034,2.40281,2.73532,1.35945,4.16122,2.36605,2.64781,2.15125,1.63601,1.96495,3.56532,1.50016,3.0311
O95841,ANGPTL1,2.43536,2.00143,,2.6586,2.91125,1.86161,2.39641,2.77009,2.71486,,1.98002,1.56737,,2.00483,2.38842,2.42678,2.99338,2.79622,1.82689,
P02144,MB,6.52242,6.20867,6.11374,6.98597,8.87668,6.06785,6.66241,6.38942,5.8209,6.30491,6.48618,6.44263,6.11633,6.79286,6.49699,6.3242,6.43102,6.32077,5.42085,6.46182
Q86WV1,SKAP1,6.88144,6.22406,5.64224,6.6313,6.40648,5.74831,6.69611,6.05575,6.60665,6.65346,7.20682,7.09276,5.9142,6.49919,5.67386,6.2389,6.66988,6.42132,6.09991,7.59193
Q4KMG0,CDON,3.91408,3.80914,2.89275,3.44736,4.00827,3.10863,3.99031,3.95976,3.24402,3.58489,3.99499,3.58623,3.28119,3.89757,3.84382,3.1423,4.1226,4.19185,3.27683,3.41396
Q8WTT0,CLEC4C,3.03086,3.9186,3.05383,2.90286,1.87464,2.377,3.7686,2.21473,2.62926,3.02488,2.98681,3.90372,2.72066,2.91221,1.62174,2.56804,3.89401,2.44895,2.17797,2.75344
Q9BZW8,CD244,7.35425,6.48068,7.18817,6.66812,7.13337,7.1438,6.90511,7.15285,7.5266,7.09871,7.32509,7.03223,6.76768,7.12813,7.10873,7.66607,6.65928,7.97673,7.00782,7.57598
O95630,STAMBP,7.02994,6.38458,7.15535,6.42472,6.94684,6.36283,7.11008,6.5201,7.42193,6.47486,5.93519,5.83755,5.78778,6.43652,6.11205,7.75887,5.74483,7.84972,5.58884,6.87156
Q96B86,RGMA,10.84339,10.60874,10.74541,10.33548,11.09976,10.78669,10.7652,11.01636,10.99303,11.25014,10.89927,10.61027,10.66924,10.62167,10.76847,10.88709,10.9141,11.14134,11.17742,11.33604
P06681,C2,,5.88281,5.90291,5.38474,5.80697,6.24185,5.48979,5.62042,5.75268,5.11588,,6.07416,5.92801,5.84995,6.00163,5.83978,5.61536,6.18041,5.44519,5.29118
O43597,SPRY2,1.42668,1.31015,3.7849,1.71587,0.84063,1.74962,2.04917,2.13148,2.10742,1.52959,1.53952,1.23821,1.69611,1.94053,2.28422,3.94393,1.17782,6.13174,0.90323,4.36357
Q9UBT3,DKK4,2.62717,2.20582,2.18261,2.62982,3.55302,2.78448,2.66041,1.9681,2.98483,2.05569,2.43043,2.92547,3.05145,2.8033,2.85354,2.49093,2.95512,2.62333,2.69089,2.62873
Q96LA5,FCRL2,4.90845,4.69611,4.71533,4.60721,4.44346,4.24765,4.61343,4.15911,4.61603,4.8967,4.63882,4.90726,4.97657,4.94439,4.01331,4.70369,4.74607,4.56001,4.54892,4.86098
O43927,CXCL13,8.61612,8.12193,9.37298,9.2777,8.34151,7.92216,7.87537,8.18557,8.1581,8.53319,8.44142,9.13837,8.90379,8.96972,8.17332,8.43252,7.99621,8.77732,8.1707,8.96767
O75077,ADAM23,4.22902,3.49071,3.28349,1.72104,4.83713,3.46154,3.80533,4.10302,4.01122,4.22017,3.76506,3.21446,3.26264,2.11241,4.51357,3.21188,3.86578,4.44558,3.86007,3.95862
Q9UJ72,ANXA10,1.55687,2.30178,0.65288,0.65288,1.10883,1.92651,1.50489,3.55901,2.34997,1.85963,2.71155,1.96814,0.65288,1.50396,0.65288,2.18665,1.60304,3.40706,2.90425,1.6448
P01732,CD8A,9.94806,9.86697,10.88381,10.80443,10.58271,8.64007,10.79844,9.85949,10.63894,10.416,10.05918,10.13603,10.48363,10.99841,10.02545,10.55823,11.14596,10.22164,10.66088,10.37028
Q9NP84,TNFRSF12A,4.72279,5.09742,4.0628,4.67674,5.69626,4.8377,4.49013,4.93901,4.67503,4.75556,4.6798,4.78521,4.70649,4.59684,4.61049,4.76876,4.68796,4.45896,4.50969,4.67206
Q9Y5C1,ANGPTL3,,4.15267,4.21446,3.67405,3.45115,3.56095,3.68147,3.89864,3.558,3.72555,,3.70822,3.87748,3.79799,4.06523,3.27962,3.33186,3.75457,3.23112,3.80762
Q9Y240,CLEC11A,4.42331,4.3339,4.45512,4.33762,4.40143,3.91444,4.12585,4.60613,4.30779,4.51161,4.66379,4.13819,4.21174,4.4465,4.50767,3.65738,4.39944,5.02411,4.68652,4.50841
P14174,MIF,8.07456,7.94705,9.09104,8.2287,8.68619,7.59835,7.6351,7.81265,7.99609,7.49613,7.02456,7.07914,7.43969,8.12335,7.37768,8.04487,6.79492,9.7517,6.5139,8.51199
Q9UKJ1,PILRA,2.91372,2.91587,2.84731,2.79418,2.78859,2.33326,3.30973,2.64909,2.65111,3.13548,2.96769,2.84286,2.82325,2.98649,2.7374,2.81393,3.27901,2.81935,2.55193,3.09957
Q12912,LRMP,3.96805,3.8247,5.22836,3.63161,2.79524,4.7201,3.92272,4.86762,3.69781,3.01226,2.82901,3.86189,3.05389,2.32433,3.14087,4.85844,2.38143,5.25744,2.54689,5.22902
Q86T13,CLEC14A,5.63617,5.33,5.32333,5.21978,5.8605,4.62242,5.41723,5.51754,5.26789,5.1977,5.54758,5.04376,5.39502,5.43088,5.35555,4.552,5.30388,5.70413,5.34703,4.99101
Q07954,LRP1,0.80685,0.54285,1.40724,0.5432,,1.03441,0.84176,0.61692,1.00362,0.678,0.90743,0.75826,1.13002,0.74467,,1.5061,0.71057,1.71517,1.19503,1.3047
O75354,ENTPD6,1.22006,0.91848,1.20406,1.10019,,1.00333,1.35199,1.17777,1.05679,1.13264,1.10569,1.15019,1.30298,1.37698,,1.45492,1.24003,1.19492,1.28236,1.18484
O95407,TNFRSF6B,5.59194,5.38075,6.07631,5.5236,6.13011,5.15838,5.06334,5.03948,5.5227,5.89151,5.74336,5.44549,5.96388,6.03804,5.56838,5.82524,5.07406,5.55235,5.32621,6.03413
O94907,DKK1,8.66341,8.94396,9.87553,10.26064,8.81476,9.7712,8.49741,8.11796,8.76544,8.68771,7.79457,9.14455,8.90865,9.69353,8.51384,8.92129,7.92186,9.70197,7.85404,9.30607
P00352,ALDH1A1,2.84047,2.57282,,2.93976,2.82593,2.46114,2.46505,2.38899,2.5321,,2.41862,2.59569,,2.37827,2.41764,2.42482,2.96207,2.7163,1.89252,
P06748,NPM1,0.74823,2.22111,1.78338,2.47864,2.43892,2.18579,2.54685,2.11034,2.00846,2.55235,1.79417,3.50701,2.26535,1.76753,1.55637,1.64932,3.00783,2.53624,1.94198,3.46857
Q8TCT1,PHOSPHO1,2.6711,2.66978,1.64015,2.86913,2.93411,1.64015,2.64837,2.91032,2.41521,1.64015,2.79793,3.00833,2.46838,2.89285,2.7998,1.64015,2.68708,2.68743,2.36345,1.64015
Q6NW40,RGMB,6.04888,5.66592,5.7502,5.5619,5.96978,5.9241,6.0845,5.96151,5.78569,6.22837,5.66092,5.64535,5.63296,6.09643,5.62055,5.54993,5.97477,6.09675,5.75192,6.0708
P15260,IFNGR1,6.98607,6.51296,6.49723,6.67707,7.41686,6.69356,6.70138,6.95987,6.9782,7.00636,7.08825,6.68556,6.69115,6.90069,7.06047,6.88936,6.58863,7.20317,6.93806,6.99564
P19878,NCF2,3.45435,3.74395,3.36215,3.7078,,2.19864,2.26419,2.61942,2.25221,2.8393,2.22443,2.3903,2.1247,2.83767,,2.5716,2.31331,2.65282,2.23127,2.96569
P13725,OSM,5.6106,7.11028,7.33841,6.11423,4.98178,5.4485,4.82502,5.06015,5.69055,5.95027,6.05012,6.3723,6.44986,5.99568,5.74131,6.76789,5.49883,6.89516,4.80376,6.51733
Q8N6Q3,CD177,5.62324,2.08154,4.66277,3.90084,3.89578,3.03533,2.24124,3.73874,4.23505,3.34524,5.75493,2.00799,4.17732,4.15852,4.00948,3.13632,2.48025,4.13928,4.07206,3.64672
O43561,LAT,7.08317,7.33851,8.60114,6.88165,5.84694,8.58901,7.07118,6.87001,6.88055,6.56089,4.95409,6.05522,6.21523,6.35575,6.2346,8.29262,5.04166,8.90566,6.64768,8.2071
P07359,GP1BA,,5.27204,5.42301,5.13873,6.11899,6.26039,5.30745,5.85824,5.82417,5.56135,,5.70558,5.46831,5.43624,5.90617,5.7731,5.40264,6.52637,5.6645,5.95976
P05107,ITGB2,5.9776,5.99999,5.63986,5.02402,5.86018,6.03408,5.94664,5.79665,5.51204,6.07442,5.99852,6.20121,5.83128,5.19833,5.80637,5.65644,5.85383,6.5238,5.5609,6.10964
Q9NPY3,CD93,11.40283,10.82629,10.95705,10.86458,10.96073,10.76943,11.45744,11.15478,11.14383,11.42156,11.14514,10.77332,10.8599,11.17879,10.76911,10.76454,11.20843,11.42192,10.9361,11.26837
